filename,sheet_name,file_year,project_name,gate_number,sku_name,sku_name,Market,list_price_AUD,forecast_volume_y1,forecast_volume_y2,forecast_volume_y3,forecast_net_sales_y1,forecast_net_sales_y2,forecast_net_sales_y3,launchyr_coop_listingfees_y1,launchyr_coop_listingfees_y2,launchyr_coop_listingfees_y3,one_time_costs_y1,one_time_costs_y2,one_time_costs_y3
G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,,Rusty,G4,Betadine Ready to Use Gargle 200mL_Australia,Betadine Ready to Use Gargle 200mL,Australia,14.93,37468.0,118858.0,116334.0,345707.49432,1096671.86292,1073383.5711599998,0.0,,,7200.0,,
G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,,Rusty,G4,Betadine Ready to Use Gargle 60mL_Australia,Betadine Ready to Use Gargle 60mL,Australia,7.16,0.0,70079.0,93281.0,0.0,291525.83684,388045.22875999997,0.0,,,4800.0,,
G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,,Rusty,G4,Betadine Antiseptic Solution 500mL_Australia,Betadine Antiseptic Solution 500mL,Australia,20.74,14055.0,21647.0,22054.0,189183.95429999998,291374.24821999995,296852.57404,0.0,,,0.0,,
G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,,Rusty,G4,Betadine Antiseptic First Aid Cream 45g_Australia,Betadine Antiseptic First Aid Cream 45g,Australia,12.83,27409.0,47678.0,48635.0,243698.62671000004,423914.15682000003,432423.02565,0.0,,,8600.0,,
G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,,Rusty,G4,Betadine Ready to Use Gargle 200mL_NZ,Betadine Ready to Use Gargle 200mL,NZ,13.425925925925926,0.0,14000.0,16800.0,0.0,146611.1111111111,175933.33333333334,0.0,,,0.0,,
G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,,Rusty,G4,Betadine Ready to Use Gargle 60mL_NZ,Betadine Ready to Use Gargle 60mL,NZ,5.833333333333333,0.0,6000.0,7200.0,0.0,27300.0,32760.0,0.0,,,0.0,,
G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,,Rusty,G4,Betadine Antiseptic First Aid Cream 45g_NZ,Betadine Antiseptic First Aid Cream 45g,NZ,7.87037037037037,0.0,0.0,13000.0,0.0,0.0,79805.55555555556,0.0,,,0.0,,
G4 P&L - Rusty - AU NZ - CANZ - Exp (M).xlsm,Project Summary,,Rusty,G4,Betadine Antiseptic First Aid Cream 20g_NZ,Betadine Antiseptic First Aid Cream 20g,NZ,4.916666666666666,0.0,0.0,17000.0,0.0,0.0,65195.0,0.0,,,0.0,,
G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,,Yogi,G4,DURO-TUSS Relief Dry Lozenges 24_Australia,DURO-TUSS Relief Dry Lozenges 24,Australia,8.61,82896.0,167054.0,172065.62,444656.63087999995,896082.66762,922965.1476485998,0.0,,,0.0,,
G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,,Yogi,G4,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 16_Australia,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 16,Australia,7.12,157514.0,225210.0,208767.0,661684.8112,946062.1680000001,876988.4136000001,0.0,,,0.0,,
G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,,Yogi,G4,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 32_Australia,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 32,Australia,12.56,155500.0,219140.0,200883.0,1152317.2000000002,1623915.056,1488623.3832,0.0,,,0.0,,
G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,,Yogi,G4,DURO-TUSS Relief Dry Lozenges 24_NZ,DURO-TUSS Relief Dry Lozenges 24,NZ,10.58,11391.0,13211.0,14532.0,94003.08840000001,109022.4564,119923.8768,0.0,,,0.0,,
G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,,Yogi,G4,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 16_NZ,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 16,NZ,4.47,26000.0,31200.0,35880.0,90651.6,108781.92,125099.20799999998,0.0,,,0.0,,
G4 P&L - Yogi - AU NZ - CANZ - Inno (R&D).xlsm,Project Summary,,Yogi,G4,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 32_NZ,Difflam Sore Throat + Cough + Sore Throat + Blocked Nose (Herbal) 32,NZ,6.9,10000.0,15000.0,18750.0,53820.0,80730.0,100912.5,0.0,,,0.0,,
G2 P&L - Herbie - AU NZ - CANZ - Reno (F).xlsm,Project Summary,,Herbie,G2,"Demazin Children's 2+ All in one Cold & Flu, Cough and Sore Throat 200mL _Australia","Demazin Children's 2+ All in one Cold & Flu, Cough and Sore Throat 200mL ",Australia,15.05,50000.0,55000.0,304790.0,398825.0,438707.5,2431157.435,0.0,,,20000.0,,
G2 P&L - Herbie - AU NZ - CANZ - Reno (F).xlsm,Project Summary,,Herbie,G2,Demazin Children's 3+ Night time Cold and Flu + Immune Defence  200mL _Australia,Demazin Children's 3+ Night time Cold and Flu + Immune Defence  200mL ,Australia,14.3,120000.0,40000.0,44000.0,909480.0,303160.0,333476.0,0.0,,,0.0,,
G2 P&L - Herbie - AU NZ - CANZ - Reno (F).xlsm,Project Summary,,Herbie,G2,Nyal 3 in One Dry and Chesty Cough Relief Plus Immune Support _Australia,Nyal 3 in One Dry and Chesty Cough Relief Plus Immune Support ,Australia,8.7,0.0,125000.0,125000.0,0.0,696000.0,696000.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,DURO-TUSS Relief Dry Lozenges 24_Australia,DURO-TUSS Relief Dry Lozenges 24,Australia,8.61,99722.89120040197,173550.03,152814.03149999998,534970.9999703679,931022.275591756,819782.4416940768,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Sore Throat + Cough / Herbal Lozenges 16_Australia,Difflam Sore Throat + Cough / Herbal Lozenges 16,Australia,7.12,210122.3898429284,332617.29000000004,292490.1545,824225.3887915366,1304723.4774645974,1147320.908974387,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,"Difflam Sore Throat + Cough, Cold & Flu Lozenges 16_Australia","Difflam Sore Throat + Cough, Cold & Flu Lozenges 16",Australia,7.12,0.0,80000.0,82400.0,0.0,313807.73439999996,323221.966432,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Soothing Centre Filled Lozenges 16 H/L_Australia,Difflam Soothing Centre Filled Lozenges 16 H/L,Australia,7.12,0.0,180000.0,185400.0,0.0,706067.4024,727249.424472,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Soothing Centre Filled Lozenges 16 Berry_Australia,Difflam Soothing Centre Filled Lozenges 16 Berry,Australia,7.12,0.0,115000.0,118450.0,0.0,451098.61819999997,464631.576746,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,DURO-TUSS Relief Dry Lozenges 24_NZ,DURO-TUSS Relief Dry Lozenges 24,NZ,8.8,11391.0,13211.0,14532.0,78187.824,90680.304,99747.648,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Sore Throat + Cough / Herbal Lozenges 16_NZ,Difflam Sore Throat + Cough / Herbal Lozenges 16,NZ,8.2,26000.0,31200.0,35880.0,166295.99999999997,199555.19999999998,229488.48,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger_MY,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger,MY,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey_MY,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey,MY,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Elderberry_MY,Difflam Herbals Soothing Throat Lozenges 12 Elderberry,MY,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Kids Soothing Throat Pops 8s Strawberry_MY,Difflam Kids Soothing Throat Pops 8s Strawberry,MY,6.870378852319571,17500.0,35000.0,42000.0,46185.303932473995,192370.607864948,230844.72943793758,50000.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger_SG,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger,SG,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey_SG,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey,SG,6.2,10000.0,20000.0,24000.0,7120.0,94240.0,113088.0,40000.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Elderberry_SG,Difflam Herbals Soothing Throat Lozenges 12 Elderberry,SG,6.2,10000.0,20000.0,24000.0,7120.0,94240.0,113088.0,40000.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Kids Soothing Throat Pops 8s Strawberry_SG,Difflam Kids Soothing Throat Pops 8s Strawberry,SG,5.7,10000.0,20000.0,24000.0,3320.0,86640.0,103968.0,40000.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger_PH,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger,PH,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey_PH,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey,PH,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Elderberry_PH,Difflam Herbals Soothing Throat Lozenges 12 Elderberry,PH,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Kids Soothing Throat Pops 8s Strawberry_PH,Difflam Kids Soothing Throat Pops 8s Strawberry,PH,5.52,25000.0,50000.0,60000.0,100640.0,215280.0,258336.0,7000.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger_HK,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger,HK,3.2048225990019814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey_HK,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey,HK,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Elderberry_HK,Difflam Herbals Soothing Throat Lozenges 12 Elderberry,HK,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Kids Soothing Throat Pops 8s Strawberry_HK,Difflam Kids Soothing Throat Pops 8s Strawberry,HK,5.480679553060366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger_TH,Difflam Herbals Soothing Throat Lozenges 12 Lemon Ginger,TH,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey_TH,Difflam Herbals Soothing Throat Lozenges 12 Manuka Honey,TH,1.6,60000.0,156000.0,187200.0,27200.0,174720.0,209664.0,40000.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Herbals Soothing Throat Lozenges 12 Elderberry_TH,Difflam Herbals Soothing Throat Lozenges 12 Elderberry,TH,1.6,40000.0,104000.0,124800.0,4800.0,116480.0,139776.0,40000.0,,,0.0,,
G2 P&L  - Yogi - CANZ & AMENA - MR - Inno (R&D).xlsm,Project Summary,,Yogi,G2,Difflam Kids Soothing Throat Pops 8s Strawberry_TH,Difflam Kids Soothing Throat Pops 8s Strawberry,TH,5.05,50000.0,100000.0,120000.0,136750.0,353500.0,424200.0,40000.0,,,0.0,,
